iter	Passed	Remaining
747	1176	396
748	1177	394
749	1178	392
750	1180	391
751	1182	390
752	1184	388
753	1185	386
754	1187	385
755	1188	383
756	1190	382
757	1191	380
758	1192	378
759	1194	377
760	1195	375
761	1197	374
762	1199	372
763	1200	370
764	1201	369
765	1203	367
766	1204	365
767	1205	364
768	1206	362
769	1207	360
770	1209	359
771	1210	357
772	1213	356
773	1214	354
774	1215	353
775	1217	351
776	1218	349
777	1219	348
778	1221	346
779	1222	344
780	1224	343
781	1226	341
782	1227	340
783	1229	338
784	1230	336
785	1231	335
786	1232	333
787	1233	331
788	1235	330
789	1236	328
790	1238	327
791	1240	325
792	1241	324
793	1243	322
794	1244	320
795	1245	319
796	1246	317
797	1248	315
798	1249	314
799	1250	312
800	1252	311
801	1254	309
802	1255	308
803	1257	306
804	1258	304
805	1260	303
806	1261	301
807	1262	300
808	1264	298
809	1265	296
810	1267	295
811	1269	293
812	1271	292
813	1272	290
814	1274	289
815	1275	287
816	1276	286
817	1278	284
818	1279	282
819	1280	281
820	1282	279
821	1284	278
822	1285	276
823	1287	275
824	1289	273
825	1290	271
826	1292	270
827	1293	268
828	1294	267
829	1295	265
830	1297	263
831	1299	262
832	1301	260
833	1302	259
834	1304	257
835	1305	256
836	1306	254
837	1308	252
838	1310	251
839	1311	249
840	1313	248
841	1315	246
842	1316	245
843	1318	243
844	1319	242
845	1321	240
846	1322	238
847	1323	237
848	1325	235
849	1327	234
850	1329	232
851	1330	231
852	1332	229
853	1333	228
854	1337	226
855	1339	225
856	1341	223
857	1343	222
858	1345	220
859	1347	219
860	1348	217
861	1350	216
862	1352	214
863	1353	213
864	1354	211
865	1356	209
866	1357	208
867	1359	206
868	1361	205
869	1363	203
870	1365	202
871	1366	200
872	1368	199
873	1369	197
874	1371	195
875	1373	194
876	1375	192
877	1376	191
878	1378	189
879	1380	188
880	1381	186
881	1383	185
882	1385	183
883	1386	181
884	1388	180
885	1390	178
886	1392	177
887	1394	175
888	1396	174
889	1397	172
890	1399	171
891	1400	169
892	1401	167
893	1403	166
894	1405	164
895	1407	163
896	1408	161
897	1410	160
898	1411	158
899	1412	156
900	1413	155
901	1415	153
902	1417	152
903	1419	150
904	1420	149
905	1423	147
906	1424	146
907	1426	144
908	1427	142
909	1429	141
910	1430	139
911	1431	138
912	1433	136
913	1434	134
914	1437	133
915	1438	131
916	1440	130
917	1441	128
918	1443	127
919	1444	125
920	1446	124
921	1447	122
922	1449	120
923	1451	119
924	1452	117
925	1454	116
926	1456	114
927	1457	113
928	1458	111
929	1460	109
930	1462	108
931	1463	106
932	1464	105
933	1466	103
934	1468	102
935	1470	100
936	1471	98
937	1473	97
938	1474	95
939	1476	94
940	1477	92
941	1479	91
942	1481	89
943	1483	87
944	1484	86
945	1486	84
946	1487	83
947	1488	81
948	1489	80
949	1491	78
950	1492	76
951	1493	75
952	1495	73
953	1497	72
954	1498	70
955	1499	69
956	1501	67
957	1502	65
958	1504	64
959	1505	62
960	1506	61
961	1507	59
962	1509	57
963	1510	56
964	1512	54
965	1514	53
966	1515	51
967	1517	50
968	1518	48
969	1519	47
970	1521	45
971	1522	43
972	1523	42
973	1525	40
974	1527	39
975	1528	37
976	1530	36
977	1531	34
978	1533	32
979	1534	31
980	1536	29
981	1537	28
982	1538	26
983	1539	25
984	1541	23
985	1543	21
986	1544	20
987	1546	18
988	1548	17
989	1549	15
990	1550	14
991	1552	12
992	1553	10
993	1555	9
994	1556	7
995	1558	6
996	1560	4
997	1562	3
998	1563	1
999	1564	0
